,date,cases_daily,tweets_daily,cases_total,tweets_total,sentiment_afn,sentiment_ensemble,sentiment_textblob,sentiment_vader
49,3/12/20,452,70756,1557,8081992,-0.13204533891118775,-0.07197976143365936,0.16289784611905705,-0.02358810560235175
50,3/13/20,590,98685,2147,8180677,-0.17813244160713382,-0.1255915286011045,0.14371991690733138,-0.06993970714900942
51,3/14/20,710,84046,2857,8264723,-0.10852390357661283,-0.06303690835970778,0.1429217333365062,-0.005806344144873078
52,3/15/20,61,68942,2918,8333665,-0.1290795161149952,-0.07068260276754372,0.17498767079574135,-0.0022047518203707206
53,3/16/20,1389,84995,4307,8418660,-0.10002941349491146,-0.036366845108535766,0.1778104594387905,0.03170774751455968
54,3/17/20,1789,86748,6096,8505408,-0.14482178263475814,-0.09893023470281737,0.13346705399548114,-0.034652095725549885
55,3/18/20,2777,72240,8873,8577648,-0.149031007751938,-0.09392303433001108,0.1552879291251384,-0.04205426356589148
56,3/19/20,5221,72452,14094,8650100,-0.16921548059404845,-0.11106663722188488,0.09036327499585932,-0.05910119803456083
57,3/20/20,5309,110664,19403,8760764,-0.12997903563941302,-0.04863370201691608,0.1505638690088918,0.014232270657124237
58,3/21/20,6322,72309,25725,8833073,-0.10621084512301376,-0.04119819109654399,0.16797355792501628,0.00925196033688752
59,3/22/20,7909,73966,33634,8907039,-0.1456615201579104,-0.09542222102046888,0.1339669577914177,-0.029878592866992962
60,3/23/20,10029,76628,43663,8983667,-0.13217100798663672,-0.07493344469384555,0.12152215900193143,-0.015007569034817538
61,3/24/20,10073,84878,53736,9068545,-0.1299983505737647,-0.06640118758688945,0.1493791088385683,-0.0037701171092627273
62,3/25/20,12042,103320,65778,9171865,-0.08232675183894694,-0.01665698799845139,0.18407859078590785,0.033168795973673997
63,3/26/20,18058,78537,83836,9250402,-0.10850936501266922,-0.05569349478589708,0.17780154576823665,-0.009002126386289278
64,3/27/20,17821,81319,101657,9331721,-0.09882069381079456,-0.05220182245231742,0.16965284865775526,-0.006886459499010067
65,3/28/20,19808,82468,121465,9414189,-0.1046102730756172,-0.057040306543144015,0.1743949168162196,-0.0012974729592084564
66,3/29/20,19444,103932,140909,9518121,-0.16643574644960166,-0.10928299272601316,0.17011122657121966,-0.050677365970057335
67,3/30/20,20922,111496,161831,9629617,-0.15751237712563682,-0.10192293893951354,0.1435925952500538,-0.04291633780584059
68,3/31/20,26341,103461,188172,9733078,-0.16700012565121158,-0.1057886546621432,0.15071379553648234,-0.033162254376045086
69,4/1/20,25070,129156,213242,9862234,-0.19205456966768866,-0.12707113877791198,0.1328006441822292,-0.046943231441048006
70,4/2/20,30380,123692,243622,9985926,-0.1657099893283317,-0.10559292436050838,0.1340021990104453,-0.042411797044271234
71,4/3/20,31745,115863,275367,10101789,-0.129445983618584,-0.07704789276990925,0.14540448633299674,-0.020593286899182658
72,4/4/20,33283,119574,308650,10221363,-0.17053874588121165,-0.11677287704684967,0.1443708498503019,-0.05740378343118074
73,4/5/20,28152,116670,336802,10338033,-0.170017999485729,-0.11671380817690917,0.14178452044227308,-0.05536984657581212
74,4/6/20,29515,120511,366317,10458544,-0.1136991643916323,-0.07433346333529722,0.16963596684120125,-0.020985636165993138
75,4/7/20,30804,130346,397121,10588890,-0.08005615822503181,-0.03202246329001274,0.17919997544995625,0.009904408267227216
